Bieniek, Stephen Paul:INSPIRE-00235857
Bierwagen, Katharina:INSPIRE-00235864
Biesiada, Jed:INSPIRE-00041944
Biglietti, Michela:INSPIRE-00211510
Bilbao De Mendizabal, Javier:INSPIRE-00347373
Bilokon, Halina:INSPIRE-00211527
Bindi, Marcello:INSPIRE-00172094
Binet, Sebastien:INSPIRE-00286241
Bingul, Ahmet:INSPIRE-00211539
Bini, Cesare:INSPIRE-00211540
Black, Curtis:INSPIRE-00329152
Black, James:INSPIRE-00334293
Black, Kevin:INSPIRE-00175789
Blackburn, Daniel:INSPIRE-00342691
Blair, Robert:INSPIRE-00067327
Blanchard, Jean-Baptiste:INSPIRE-00211554
Blazek, Tomas:INSPIRE-00235878
Bloch, Ingo:INSPIRE-00060307
Blocker, Craig:INSPIRE-00067509
Blum, Walter:INSPIRE-00211566
Blumenschein, Ulrike:INSPIRE-00211570
Bobbink, Gerjan:INSPIRE-00211581
Bobrovnikov, Victor:INSPIRE-00229343
Bocchetta, Simona Serena:INSPIRE-00235887
Bocci, Andrea:INSPIRE-00048999
Bock, Christopher:INSPIRE-00367845
Boddy, Christopher Richard:INSPIRE-00229353
Boehler, Michael:INSPIRE-00211593
Boek, Thorsten Tobias:INSPIRE-00227200
Bogaerts, Joannes Andreas:INSPIRE-00211623
Bogdanchikov, Alexander:INSPIRE-00229367
Bogouch, Andrei:INSPIRE-00211635
Bohm, Christian:INSPIRE-00324763
Bohm, Jan:
Boisvert, Veronique:INSPIRE-00067915
Bold, Tomasz:INSPIRE-00172488
Boldea, Venera:INSPIRE-00305639
Boldyrev, Alexey:INSPIRE-00340190
Bomben, Marco:INSPIRE-00052711
Bona, Marcella:INSPIRE-00049930
Boonekamp, Maarten:INSPIRE-00211647
Borisov, Anatoly:INSPIRE-00226538
Borissov, Guennadi:INSPIRE-00068300
Borri, Marcello:INSPIRE-00286268
Borroni, Sara:INSPIRE-00010952
Bortfeldt, Jonathan:INSPIRE-00295897
Bortolotto, Valerio:INSPIRE-00235896
Bos, Kors:INSPIRE-00068375
Boscherini, Davide:INSPIRE-00172014
Bosman, Martine:INSPIRE-00227227
Boterenbrood, Hendrik:INSPIRE-00068452
Boudreau, Joseph:INSPIRE-00068562
Bouffard, Julian:INSPIRE-00360686
Bouhova-Thacker, Evelina Vassileva:INSPIRE-00211684
Boumediene, Djamel Eddine:INSPIRE-00050723
Bourdarios, Claire:INSPIRE-00068610
Bousson, Nicolas:INSPIRE-00000330
Boutouil, Sara:INSPIRE-00235901
Boveia, Antonio:INSPIRE-00041392
Boyd, James:INSPIRE-00226553
Boyko, Igor:INSPIRE-00211696
Bracinik, Juraj:INSPIRE-00068874
Brandt, Andrew:INSPIRE-00300274
Brandt, Gerhard:INSPIRE-00032742
Brandt, Oleg:INSPIRE-00184109
Bratzler, Uwe:INSPIRE-00211726
Brau, Benjamin:INSPIRE-00069043
Brau, James:INSPIRE-00069055
Braun, Helmut:INSPIRE-00069076
Brazzale, Simone Federico:INSPIRE-00286276
Brelier, Bertrand:INSPIRE-00040480
Brendlinger, Kurt:INSPIRE-00338116
Brennan, Amelia Jean:INSPIRE-00345743
Brenner, Richard:INSPIRE-00211740
Bressler, Shikma:INSPIRE-00211751
Bristow, Kieran:INSPIRE-00356256
Bristow, Timothy Michael:INSPIRE-00342520
Britton, Dave:INSPIRE-00069310
Brochu, Frederic:INSPIRE-00211763
Brock, Ian:INSPIRE-00069330
Brock, Raymond:INSPIRE-00069341
Bromberg, Carl:INSPIRE-00069431
Bronner, Johanna:INSPIRE-00235910
Brooijmans, Gustaaf:INSPIRE-00069444
Brooks, Timothy:INSPIRE-00235925
Brooks, William:INSPIRE-00069460
Brosamer, Jacquelyn:INSPIRE-00354197
Brost, Elizabeth:INSPIRE-00345015
Brown, Jonathan:INSPIRE-00342563
Bruckman de Renstrom, Pawel:INSPIRE-00180299
Bruncko, Dusan:INSPIRE-00179454
Bruneliere, Renaud:INSPIRE-00240391
Brunet, Sylvie:INSPIRE-00042182
Bruni, Alessia:INSPIRE-00069652
Bruni, Graziano:INSPIRE-00172026
Bruschi, Marco:INSPIRE-00211789
Bryngemark, Lene:INSPIRE-00329497
Buanes, Trygve:INSPIRE-00229479
Buat, Quentin:INSPIRE-00235948
Bucci, Francesca:INSPIRE-00042001
Buchholz, Peter:INSPIRE-00069835
Buckingham, Ryan:INSPIRE-00019034
Buckley, Andrew:INSPIRE-00211807
Buda, Stelian Ioan:INSPIRE-00286284
Budagov, Ioulian:INSPIRE-00211819
Buehrer, Felix:INSPIRE-00356527
Bugge, Lars:INSPIRE-00211820
Bugge, Magnar Kopangen:INSPIRE-00298334
Bulekov, Oleg:INSPIRE-00211832
