image_id,shelfmark,jpeg_path
0009495c,.9(42061) GER.,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~68065~104465
0004136c,*.L.17.33,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~52463~104040
0066740c,*D.21.8,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~3~3~82479~177477
0005933c,*EE.7.9,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~53902~104162
0005934c,*EE.7.9,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~53916~104163
0005935c,*EE.7.9,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~53929~104164
0005936c,*EE.7.9,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~53942~104165
0013160c,*F.16.6,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~56285~105219
0013161c,*F.16.6,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~56298~105220
0013162c,*F.16.6,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~56310~105221
0013192c,*F.16/1.64/1,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~56642~105249
0013195c,*F.16/1.64/1,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~56655~105250
0002383c,*F.25/17,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~63837~103840
0022877c,*G.21/25,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~74413~105673
0002417c,*H23.23,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~63991~103852
0011661c,*I.26/12,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~51273~104961
0010794c,*I.33.6,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~70393~104648
0066733c,*K.17.22,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~151257~177455
0066734c,*K.17.22,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~151258~177454
0066735c,*K.17.22,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~151259~177453
0066736c,*K.17.22,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~151260~177452
0066737c,*K.17.22,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~151261~177451
0004702c,*K.18.5,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~52816~104071
0004703c,*K.18.5,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~52828~104072
0004704c,*K.18.5,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~52839~104073
0004705c,*K.18.5,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~52850~104074
0004706c,*K.18.5,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~52862~104075
0004707c,*K.18.5,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~52873~104076
0057238c,*K.19.10,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~150274~162571
0018364c,*K.32.43/2,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~59242~105441
0018365c,*K.32.43/2,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~59254~105442
0057123c,*L.16.34,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~150229~162467
0057118c,*L.19.7,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~5~5~84894~162550
0022515c,*L.20.12/1,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~73984~105639
0022516c,*L.20.12/1,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~73996~105640
0055788c,*L.22.27/3,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~91221~107235
0055789c,*L.22.27/3,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~91233~107236
0004170c,*L.24.13,https://images.is.ed.ac.uk/luna/servlet/detail/UoEgal~5~5~52767~104067
