North American Fungi,
Notes from the Royal Botanic Garden Edinburgh,0080-4274
Nova Hedwigia,0029-5035
Novon,1055-3177
Oecologia,0029-8549
Oikos,0030-1299
Opera Botanica,0078-5237
Opuscula Philolichenum,1941-7527
Orchadian,0474-3342
Orchid Research Newsletter,1359-5199
Orchid Review,0030-4476
Orchids of the British Isles,
Organisms Diversity & Evolution,1439-6092
Oryx,0030-6053
Österreichische Zeitschrift für Pilzkunde,1021-2450
Pakistan Journal of Botany,0556-3321
Palaeogeography Palaeoclimatology Palaeoecology,0031-0182
Palaeontographica Abteilung B-Palaophytologie,0375-0299
Palmarum Hortus Francofurtensis,0938-085X
Palms,1523-4495
Palynology,0191-6122
Parliament Magazine ,1372-7966
Pattern Recognition,0031-3203
Peer J,2167-8359
Persoonia,0031-5850
Perspectives in Plant Ecology, Evolution and Systematics,1433-8319
Pesquisa em Andamento,
Phelsuma,1026-5023
Philippine Journal of Science ,0031-7683
Philippine Journal of Systematic Biology,1908-6865
Philosophical Transactions of the Royal Society of London Series B-Biological Sciences,0962-8436
Photosynthesis Research,0166-8595
Photosynthetica,0300-3604
Phycologia,0031-8884
Phycological Research,1322-0829
Phycologist,0965-5301
Physiologia Plantarum,0031-9317
Physiological and Molecular Plant Pathology,0885-5765
PhytoKeys,1314-2003
Phytomorphology,0031-9449
Phytopathology,0031-949X
Phytotaxa,1179-3155
Pisum Genetics,1320-2510
Plant Biology,1435-8603
Plant Cell,1040-4651
Plant Cell and Environment,0140-7791
Plant and Cell Physiology,0032-0781
Plant Cell Reports,0721-7714
Plant Cell Tissue and Organ Culture,0167-6857
Plant Development,
Plant Disease,0191-2917
Plant Diversity & Ecology,
Plant Diversity and Evolution,1869-6155
Plant Diversity Resources,
Plant Diversity and Resources,2095-0845
Plant Ecology,1385-0237
Plant Ecology and Diversity,1755-0874
Plant Ecology and Evolution,2032-3913
Plant Genetic Resources,1479-2621
Plant Genome,1940-3372
Plant Growth Regulation,0167-6903
Plant Heritage,1464-1712
Plant Journal,0960-7412
Plant Methods,1746-4811
Plant Molecular Biology,0167-4412
Plant Molecular Biology Reporter,0735-9640
Plant Omics,1836-0661
Plant Pathology,0032-0862
Plant Pathology Journal,1598-2254
Plant Physiology,0032-0889
Plant Physiology and Biochemistry,0981-9428
Plant Press,
Plant Science,0168-9452
Plant and Soil,0032-079X
Plant Species Biology,0913-557X
Plant Systematics and Evolution,0378-2697
Plant Talk,1358-4103
Planta,0032-0935
Plantlife,0960-5525
Plantsman,0143-0106
Plantsman New Series,1352-4186
PLoS Biology,1545-7885
PLoS One,1932-6203
Polish Journal of Ecology,1505-2249
Preslia,0032-7786
Priceless,
Primroses,0162-6671
Proceedings of the National Academy of Sciences of the United States of America (PNAS),0027-8424
Proceedings of the Royal Society of Edinburgh. Section B: Biological Sciences,0308-2113
Proceedings of the Royal Society of London. Series B: Biological Sciences,0962-8452
Proceedings of the Royal Microscopical Society,0035-9017
Proceedings of the Royal Society of Queensland,0080-469X
Professional Gardener,1366-5499
Professional Horticulture,0950-0928
Progress in Molecular and Subcellular Biology,0079-6484
Protist,1434-4610
Protoplasma,0033-183X
Pteridologist,0266-1640
Public Garden,0885-3894
Public Money & Management,0954-0962
Pulse, News from the Linnean Society of London,
Quatre-temps. La revue des amis du jardin botanique de Montréal,0820-5515
Quaternary International,1040-6182
Quaternary Science Reviews,0277-3791
Quarterly Journal of Forestry,0033-5568
Quekett Journal of Microscopy,0969-3823
Records of the Botanical Survey of India,0375-0728
Reforesting Scotland,0969-1367
Regional Environmental Change,1436-3798
Reinwardtia,0034-365X
Remote Sensing,2072-4292
Report and Transactions La Société Guernesiaise,0144-1973
Research Update - Newsletter of CIMA,
Restoration Ecology,1061-2971
Retour: The Newsletter of the Scottish Records Association,1479-9634
Review of Palaeobotany and Palynology,0034-6667
Revista Brasileira de Botanica,0100-8404
Revista Peruana de Biología,1727-9933
Revue Bryologique et Lichenologique,0399-0575
Revue de Mycologie,0484-8578
Rheedea,0971-2313
Rhododendron and Camellia Year Book,
Rhododendron Year Book,
Rhododendrons,
Rhododendron Species,
Rhododendrons with Camellias and Magnolias,
Rhododendrons with Magnolias and Camellias,0269-5561
Rhodora,0035-4902
Rock Garden,0265-5500
Rock Garden Quarterly,1081-0765
Roczniki Bieszczadzkie,1233-1910
Roots,0965-2574
Rostaniha,1608-4306
Royal Caledonian Horticultural Society - Journal,0964-007X
Russian Journal of Nematology,0869-6918
Russian Journal of Plant Physiology,1021-4437
Samara: The International Newsletter of the Millenium Seed Bank Partnership,1475-8245
Sandakania,0128-5939
Sarawak Museum Journal,0375-3050
Sauteria,2219-4150
Science,0036-8075
Science Scotland,1743-6222
Science of the Total Environment,0048-9697
Scientia Danica. Series B. Biologica,1904-5484
Scientific Reports,2045-2322
Scotland on Sunday Magazine,
Scotland's What's On ,
Scotsman,0307-5850
Scottish Book Collector,0954-8769
Scottish Consortium for Rural Research Newsletter,
Scottish Field,0036-9209
Scottish Field Studies,
Scottish Forestry,0036-9217
Scottish Forestry Journal,0370-9760
Scottish Garden,1478-4114
Scottish Geographical Journal,1470-2541
Scottish Geographical Magazine,0036-9225
Scottish Natural Heritage Review,1350-3111
Scottish Life,
Scottish Naturalist,0268-3385
Scottish Wildlife,0143-1234
