System ID,Firstnames,Lastname,Known As,Title,Post Nominals,Person Corporate Type,Record Type,Role,Gender
2869,Honofrio,Guarracino,,,,Individual,Person,"Production Person (pri & sec), Production Person (primary)",
4923,Clement,Lempriere,,,,Individual,,"Production Person (pri & sec) : Mapmaker, Production Person (primary) : Mapmaker",
4591,James,Knapton,,,[et al],Individual,,"Production Person (pri & sec) : Publisher, Production Person (primary) : Publisher",
4601,Andrew,Hart,,,,Individual,,"Production Person (pri & sec) : Map seller, Production Person (primary) : Map seller",
5023,Laurence,Charteris,Laurence,,,Individual,Person,,
2870,,Attributed to John Player,,,,Business,Corporate,,
1020,,Correggio,,,,Individual,,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist, Subject Person",
1019,Henry,Corbould,,,,Individual,,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist, Production Person (secondary) : Artist",
7025,Heather,Macdonald,,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
2582,,Probably Andrew Shivas,,,,Business,Corporate,,
8354,Stephanie,Dees,Stephanie,,,Individual,Person,"Production Person (pri & sec), Production Person (primary)",
6925,Lesley M.,Johns,Lesley,,,Individual,Person,"Production Person (pri & sec), Production Person (pri & sec) : Artist, Production Person (primary), Production Person (primary) : Artist",
7644,Samuel,Dale,,,,Individual,Person,Subject Person : Sitter,
8968,,Herbert Wurlitzer,,,,,Corporate,"Production Person (pri & sec), Production Person (primary)",
1814,,Robinson & Bussell,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
2059,H,Schneider,H,,,Individual,Person,"Production Person (pri & sec), Production Person (primary)",
2060,,Mitsching-Alschausky,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
1959,,Žalud,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
6866,Arlene,Isbister,Arlene,,,Individual,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
1960,G,Hannecke,,,,,Person,"Production Person (pri & sec), Production Person (primary)",
2179,Samuel Gottfried,Wiesner,Samuel,,,Individual,Person,"Production Person (pri & sec), Production Person (primary)",
2180,C,Werner,C,,,Individual,Person,"Production Person (pri & sec), Production Person (primary)",
968,Charles,Barry,,, the elder,Individual,,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
4047,Pierre,Corneille,Pierre,,,Individual,Person,Subject Person,
4483,Peire,Tomaso Maria,,,,Individual,,,
4535,William Augustus,,,Duke,of Cumberland,Individual,,"Production Person (pri & sec) : Associated Person, Production Person (primary) : Associated Person",
3947,George,Stubbs,George,,,Individual,Person,,
5615,David,Hunter,David,,,Individual,Person,,
4139,Anne,,,Queen,of Great Britain,Individual,Person,Subject Person,
4140,Archibald,Campbell,Archibald,Marquis,of Argyll,Individual,Person,Subject Person,
4281,Nicolaas,Witsen,,,,Individual,,"Production Person (pri & sec) : Dedicatee, Production Person (primary) : Dedicatee",
3133,Esther,Inglis,Esther,,,Individual,Person,,
5761,,Model Release No. 2412,,,,Model Release,Corporate,,
7439,Claude,Labreche,Claude,,,,Person,,
7440,,,,,,,Person,,
8538,,,,,,,Person,,
8202,Johann,Volckamer,,,,Individual,Person,Subject Person : Sitter,
448,Walter,Geikie,,,,Individual,,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
4998,,Sharpe,,,,Individual,Person,"Production Person (pri & sec) : Maker, Production Person (primary) : Maker",
4662,Francis,Scott,,Earl,of Buccleuch,Individual,,"Production Person (pri & sec) : Dedicatee, Production Person (primary) : Dedicatee",
5108,Joseph-François,Lafitau,,,,Individual,Person,,
5098,Frank C.,Mears,Frank,,,Individual,Person,,
