author,title,date,publisher,subject,type,qualname,quallevel,abstract,catalogued,file1,file2,file3,subject1,subject2,subject3,estc,description,language,identifier
"Martin, John,   active 1810.","Disputatio physica inauguralis de natura humana belluinae collata, praecipue quoad ejus formam externam et sentiendi facultatem : quam, annuente summo numine : ex auctoritate reverendi admodum viri, D. Georgii Baird, SS.T.P. Academiae Edinburgenae Praefecti : necnon amplissimi senatus academici consensu, et nobilissimae facultatis medicae decreto : pro gradu doctoratus, summisque in medicina honoribus ac privilegiis rite et legitime consequendis / eruditorum examini subjicit Joannes Martin, Anglus, Societ. Reg. Med. Edinen. Socius, necnon Societ. Mathemat. Londin. Socius et Praelector.",1810,The University of Edinburgh,Annexe Thesis Digitisation Project 2019 Block 24,Thesis or Dissertation,MD Doctor of Medicine,Doctoral,,,,,,,,,,Thesis (M.D.)--University of Edinburgh.,lat,9916224083502466,,,
"Murray, Andrew,   active 1810.","Disputatio medica inauguralis, de pulsuum varietatibus : quam, annuente summo numine : ex auctoritate reverendi admodum viri, D. Georgii Baird, SS.T.P. Academiae Edinburgenae Praefecti : necnon amplissimi senatus academici consensu, et nobilissimae facultatis medicae decreto : pro gradu doctoratus, summisque in medicina honoribus ac privilegiis rite et legitime consequendis / eruditorum examini subjicit Andreas Murray, Scotus, Societ. Reg. Med. Edin. Socius.",1810,The University of Edinburgh,Annexe Thesis Digitisation Project 2019 Block 24,Thesis or Dissertation,MD Doctor of Medicine,Doctoral,,,,,,,Pulse,,,Thesis (M.D.)--University of Edinburgh.,lat,9916224123502466,,,
"Nicoll, Andrew,   -1823.","Tentamen chemicum et medicum inaugurale quaedam de plumbo complectens : quod, annuente summo numine : ex auctoritate reverendi admodum viri, D. Georgii Baird, SS.T.P. Academiae Edinburgenae Praefecti : necnon amplissimi senatus academici consensu, et nobilissimae facultatis medicae decreto : pro gradu doctoratus, summisque in medicina honoribus ac privilegiis rite et legitime consequendis / eruditorum examini subjicit Andreas Nicoll, Scoto-Britannus, Chirurgus, Societ. Physic. Reg. Edinburgenae Socius Extraordinarius.",1810,The University of Edinburgh,Annexe Thesis Digitisation Project 2019 Block 24,Thesis or Dissertation,MD Doctor of Medicine,Doctoral,,,Att.83.7.8.1.pdf,,,,Lead -- Toxicology,,,Thesis (M.D.)--University of Edinburgh.,lat,9916224263502466,Att.83.7.8.1.pdf,,
"O'Callaghan, Eugene.   ","Dissertatio medica inauguralis, de hydrope : quam, annuente summo numine : ex auctoritate reverendi admodum viri, D. Georgii Baird, SS.T.P. Academiae Edinburgenae Praefecti : necnon amplissimi senatus academici consensu, et nobilissimae facultatis medicae decreto : pro gradu doctoratus, summisque in medicina honoribus ac privilegiis rite et legitime consequendis / eruditorum examini subjicit Eugenius O'Callaghan, Hibernus.",1810,The University of Edinburgh,Annexe Thesis Digitisation Project 2019 Block 24,Thesis or Dissertation,MD Doctor of Medicine,Doctoral,,,Att.83.7.8.2.pdf,,,,Edema,,,Thesis (M.D.)--University of Edinburgh.,lat,9916224313502466,Att.83.7.8.2.pdf,,
"Peacock, William Burns.   ","Dissertatio medica inauguralis, de apoplexia : quam, annuente summo numine : ex auctoritate reverendi admodum viri, D. Georgii Baird, SS.T.P. Academiae Edinburgenae Praefecti : necnon amplissimi senatus academici consensu, et nobilissimae facultatis medicae decreto : pro gradu doctoratus, summisque in medicina honoribus ac privilegiis rite et legitime consequendis / eruditorum examini subjicit Gulielmus Burns Peacock, Scoto-Britannus, Chirurgus.",1810,The University of Edinburgh,Annexe Thesis Digitisation Project 2019 Block 24,Thesis or Dissertation,MD Doctor of Medicine,Doctoral,,,Att.83.7.8.3.pdf,,,,Edema,,,Thesis (M.D.)--University of Edinburgh.,lat,9916224383502466,Att.83.7.8.3.pdf,,
"Ramsay, John,   active 1810.","Dissertatio inauguralis de vi electrica : quam, annuente summo numine : ex auctoritate reverendi admodum viri, D. Georgii Baird, SS.T.P. Academiae Edinburgenae Praefecti : necnon amplissimi senatus academici consensu, et nobilissimae facultatis medicae decreto : pro gradu doctoratus, summisque in medicina honoribus ac privilegiis rite et legitime consequendis / eruditorum examini subjicit Joannes Ramsay, Surat, Societ. Reg. Med. Edin. Soc. Extraord.",1810,The University of Edinburgh,Annexe Thesis Digitisation Project 2019 Block 24,Thesis or Dissertation,MD Doctor of Medicine,Doctoral,,,Att.83.7.8.4.pdf,,,,Electricity,,,Thesis (M.D.)--University of Edinburgh.,lat,9916224423502466,Att.83.7.8.4.pdf,,
"Reed, George.   ","Dissertatio medica inauguralis, de febre continua contagiosa : quam, annuente summo numine : ex auctoritate reverendi admodum viri, D. Georgii Baird, SS.T.P. Academiae Edinburgenae Praefecti : necnon amplissimi senatus academici consensu, et nobilissimae facultatis medicae decreto : pro gradu doctoratus, summisque in medicina honoribus ac privilegiis rite et legitime consequendis / eruditorum examini subjicit Georgius Reed, Hibernus.",1810,The University of Edinburgh,Annexe Thesis Digitisation Project 2019 Block 24,Thesis or Dissertation,MD Doctor of Medicine,Doctoral,,,Att.83.7.8.5.pdf,,,,Fever,,,Thesis (M.D.)--University of Edinburgh.,lat,9916224473502466,Att.83.7.8.5.pdf,,
"Rogers, George Gumbleton.   ","Dissertatio medica inauguralis de rheumatismo : quam, annuente summo numine : ex auctoritate reverendi admodum viri, D. Georgii Baird, SS.T.P. Academiae Edinburgenae Praefecti : necnon amplissimi senatus academici consensu, et nobilissimae facultatis medicae decreto : pro gradu doctoratus, summisque in medicina honoribus ac privilegiis rite et legitime consequendis / eruditorum examini subjicit Georgius Gumbleton Rogers, A.B. T.C.D., Hibernus.",1810,The University of Edinburgh,Annexe Thesis Digitisation Project 2019 Block 24,Thesis or Dissertation,MD Doctor of Medicine,Doctoral,,,Att.83.7.8.6.pdf,,,,Rheumatic Diseases,,,Thesis (M.D.)--University of Edinburgh.,lat,9916224533502466,Att.83.7.8.6.pdf,,
"Ross, Adolphus M'Douall,   1789?-1842.","Dissertatio medica inauguralis de hydrocele : quam, annuente summo numine : ex auctoritate reverendi admodum viri, D. Georgii Baird, SS.T.P. Academiae Edinburgenae Praefecti : necnon amplissimi senatus academici consensu, et nobilissimae facultatis medicae decreto : pro gradu doctoratus, summisque in medicina honoribus ac privilegiis rite et legitime consequendis / eruditorum examini subjicit Adolphus Ross, Scoto-Britannus, Chirurgus, Societatis Regiae Medicae Edinensis Socius.",1810,The University of Edinburgh,Annexe Thesis Digitisation Project 2019 Block 24,Thesis or Dissertation,MD Doctor of Medicine,Doctoral,,,Att.83.7.8.7.pdf,,,,Hydrocele,,,Thesis (M.D.)--University of Edinburgh.,lat,9916224593502466,Att.83.7.8.7.pdf,,
"Sanders, George.   ","Dissertatio medica inauguralis de hydrocephalo acuto interno : quam, annuente summo numine : ex auctoritate reverendi admodum viri, D. Georgii Baird, SS.T.P. Academiae Edinburgenae Praefecti : necnon amplissimi senatus academici consensu, et nobilissimae facultatis medicae decreto : pro gradu doctoratus, summisque in medicina honoribus ac privilegiis rite et legitime consequendis / eruditorum examini subjicit Georgius Sanders, Barbadensis, Societ. Med. Reg. Soc. necnon Praeses Societ. Didact. Edin.",1810,The University of Edinburgh,Annexe Thesis Digitisation Project 2019 Block 24,Thesis or Dissertation,MD Doctor of Medicine,Doctoral,,,Att.83.7.8.8.pdf,,,,Hydrocele,,,Thesis (M.D.)--University of Edinburgh.,lat,9916224863502466,Att.83.7.8.8.pdf,,
"Scott, Joseph,   active 1810.","Dissertatio medica inauguralis de impulsu anni tempestatum : quam, annuente summo numine : ex auctoritate reverendi admodum viri, D. Georgii Baird, SS.T.P. Academiae Edinburgenae Praefecti : necnon amplissimi senatus academici consensu, et nobilissimae facultatis medicae decreto : pro gradu doctoratus, summisque in medicina honoribus ac privilegiis rite et legitime consequendis / eruditorum examini subjicit Josephus Scott, Anglus, Societatis Regiae Medicae Edinburgenae, Socius Ordinarius.",1810,The University of Edinburgh,Annexe Thesis Digitisation Project 2019 Block 24,Thesis or Dissertation,MD Doctor of Medicine,Doctoral,,,Att.83.7.8.9.pdf,,,,Human beings,,,Thesis (M.D.)--University of Edinburgh.,lat,9916224903502466,Att.83.7.8.9.pdf,,
"Scott, Peter,   -1821.","Dissertatio medica inauguralis de tetano traumatico : quam, annuente summo numine : ex auctoritate reverendi admodum viri, D. Georgii Baird, SS.T.P. Academiae Edinburgenae Praefecti : necnon amplissimi senatus academici consensu, et nobilissimae facultatis medicae decreto : pro gradu doctoratus, summisque in medicina honoribus ac privilegiis rite et legitime consequendis / eruditorum examini subjicit Petrus Scott, Edinburgensis, Chirurgus.",1810,The University of Edinburgh,Annexe Thesis Digitisation Project 2019 Block 24,Thesis or Dissertation,MD Doctor of Medicine,Doctoral,,,Att.83.7.8.10.pdf,,,,Tetanus,,,Thesis (M.D.)--University of Edinburgh.,lat,9916224933502466,Att.83.7.8.10.pdf,,
"Smith, John Gordon,   1792-1833.","Dissertatio medica inauguralis de asthmate : quam, annuente summo numine : ex auctoritate reverendi admodum viri, D. Georgii Baird, SS.T.P. Academiae Edinburgenae Praefecti : necnon amplissimi senatus academici consensu, et nobilissimae facultatis medicae decreto : pro gradu doctoratus, summisque in medicina honoribus ac privilegiis rite et legitime consequendis / eruditorum examini subjicit Joannes Gordon Smith, A.M. Anglus, Societatis Medico-Chirurgicae Edinensis Socius, et Pro Anno Praeses.",1810,The University of Edinburgh,Annexe Thesis Digitisation Project 2019 Block 24,Thesis or Dissertation,MD Doctor of Medicine,Doctoral,,,Att.83.7.8.11.pdf,,,,Asthma,,,Thesis (M.D.)--University of Edinburgh.,lat,9916224953502466,Att.83.7.8.11.pdf,,
